,Fan,Refrigerator,AirConditioner,Television,Monitor,Month,City,Company,MonthlyHours,TariffRate,ElectricityBill
0,16,23.0,2.0,6.0,1.0,10,Hyderabad,Tata Power Company Ltd.,384,8.4,3225.6000000000004
1,19,22.0,2.0,3.0,1.0,5,Vadodara,NHPC,488,7.8,3806.4
2,7,20.0,2.0,6.0,7.0,7,Shimla,Jyoti Structure,416,7.7,3203.2000000000003
3,7,22.0,3.0,21.0,1.0,6,Mumbai,Power Grid Corp,475,9.2,4370.0
4,11,23.0,2.0,11.0,1.0,2,Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),457,9.2,4204.4
5,13,22.0,0.0,18.0,1.0,6,Ratnagiri,Adani Power Ltd.,471,7.4,3485.4
6,23,22.0,3.0,20.0,12.0,5,New Delhi,Kalpataru Power,755,8.5,6417.5
7,22,23.0,0.0,21.0,1.0,12,New Delhi,Adani Power Ltd.,492,8.5,4182.0
8,8,20.0,2.0,8.0,1.0,8,New Delhi,Orient Green,546,8.5,4641.0
9,10,23.0,0.0,18.0,7.0,1,Dahej,Sterlite Power Transmission Ltd,578,7.6,4392.8
10,16,22.0,3.0,14.0,1.0,6,Ahmedabad,Neueon Towers / Sujana Towers Ltd.,450,7.9,3555.0
11,5,19.0,2.0,20.0,1.0,12,Mumbai,Sterlite Power Transmission Ltd,493,9.2,4535.599999999999
12,10,23.0,1.0,22.0,1.0,9,Hyderabad,KEC International,492,8.4,4132.8
13,11,22.0,3.0,19.0,1.0,11,Ahmedabad,Indowind Energy,565,7.9,4463.5
14,18,22.0,1.0,3.0,12.0,7,Noida,Unitech Power Transmission Ltd.,414,8.2,3394.8
15,21,23.0,3.0,5.0,1.0,12,Nagpur,Bonfiglioli Transmission Pvt. Ltd.,594,8.9,5286.6
16,9,21.0,3.0,6.0,1.0,2,Chennai,SJVN Ltd.,349,8.8,3071.2000000000003
17,17,22.0,0.0,3.0,1.0,4,Dahej,Tata Power Company Ltd.,355,7.6,2698.0
18,12,23.0,0.0,18.0,1.0,3,New Delhi,Neueon Towers / Sujana Towers Ltd.,467,8.5,3969.5
19,13,22.0,1.0,21.0,12.0,11,New Delhi,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",646,8.5,5491.0
20,23,23.0,0.0,15.0,1.0,8,Mumbai,Sterlite Power Transmission Ltd,476,9.2,4379.2
21,20,22.0,3.0,7.0,12.0,2,Ratnagiri,L&T Transmission & Distribution,659,7.4,4876.6
22,23,22.0,2.0,14.0,1.0,7,Faridabad,Guj Ind Power,631,8.1,5111.099999999999
23,9,22.0,3.0,3.0,1.0,4,Faridabad,Jyoti Structure,395,8.1,3199.5
24,19,22.0,2.0,11.0,1.0,3,Noida,Guj Ind Power,480,8.2,3936.0
25,19,23.0,0.0,21.0,1.0,12,Nagpur,Torrent Power Ltd.,678,8.9,6034.2
26,22,23.0,2.0,11.0,1.0,8,Faridabad,Reliance Energy,664,8.1,5378.4
27,7,22.0,2.0,16.0,1.0,8,Nagpur,GE T&D India Limited,515,8.9,4583.5
28,21,22.0,0.0,19.0,1.0,7,Faridabad,Reliance Energy,509,8.1,4122.9
29,23,22.0,0.0,17.0,1.0,9,Faridabad,NTPC Pvt. Ltd.,679,8.1,5499.9
30,23,23.0,3.0,18.0,1.0,4,Hyderabad,KEC International,564,8.4,4737.6
31,23,23.0,0.0,9.0,1.0,4,Mumbai,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",412,9.2,3790.4
32,18,22.0,2.0,18.0,1.0,12,Faridabad,NTPC Pvt. Ltd.,468,8.1,3790.8
33,11,23.0,0.0,20.0,1.0,8,Kolkata,L&T Transmission & Distribution,452,8.7,3932.4
34,5,21.0,3.0,17.0,1.0,10,Pune,GE T&D India Limited,447,9.1,4067.7
35,13,22.0,3.0,6.0,1.0,10,New Delhi,Sterlite Power Transmission Ltd,361,8.5,3068.5
36,14,22.0,2.0,4.0,1.0,2,Gurgaon,Optibelt Power Transmission India Private Limited,442,8.3,3668.6
37,7,20.0,0.0,18.0,1.0,1,Noida,Neueon Towers / Sujana Towers Ltd.,307,8.2,2517.4
38,15,22.0,0.0,20.0,1.0,10,Noida,GE T&D India Limited,494,8.2,4050.8
39,22,22.0,3.0,17.0,1.0,4,Pune,CESC,699,9.1,6360.9
40,6,23.0,2.0,16.0,1.0,6,Shimla,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",549,7.7,4227.3
41,8,17.0,3.0,5.0,1.0,7,Gurgaon,Ringfeder Power Transmission India Pvt. Ltd.,385,8.3,3195.5000000000005
42,9,22.0,0.0,10.0,7.0,12,New Delhi,Orient Green,491,8.5,4173.5
43,10,21.0,1.0,22.0,1.0,6,Dahej,Neueon Towers / Sujana Towers Ltd.,646,7.6,4909.599999999999
44,12,23.0,2.0,9.0,1.0,6,Nagpur,GE T&D India Limited,546,8.9,4859.400000000001
45,21,23.0,2.0,6.0,1.0,6,Vadodara,Reliance Power,636,7.8,4960.8
46,19,22.0,0.0,10.0,12.0,2,Kolkata,JSW Energy Ltd.,401,8.7,3488.7
47,8,22.0,2.0,8.0,1.0,7,Dahej,GE T&D India Limited,360,7.6,2736.0
48,13,22.0,2.0,8.0,1.0,9,Vadodara,Sterlite Power Transmission Ltd,539,7.8,4204.2
49,14,22.0,2.0,6.0,12.0,7,Navi Mumbai,Ringfeder Power Transmission India Pvt. Ltd.,577,9.3,5366.1
50,5,23.0,3.0,15.0,1.0,5,New Delhi,Sunil Hitech Eng,673,8.5,5720.5
51,5,21.0,0.0,15.0,1.0,10,Kolkata,JSW Energy Ltd.,443,8.7,3854.1
52,11,22.0,1.0,7.0,1.0,11,Gurgaon,Sunil Hitech Eng,398,8.3,3303.4
53,13,22.0,1.0,4.0,12.0,1,Navi Mumbai,Power Grid Corp,653,9.3,6072.900000000001
54,7,21.0,0.0,3.0,1.0,12,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,421,8.4,3536.4
55,10,19.0,0.0,3.0,1.0,6,Chennai,NTPC Pvt. Ltd.,421,8.8,3704.8
56,15,22.0,2.0,16.0,1.0,4,Chennai,Sterlite Power Transmission Ltd,650,8.8,5720.000000000001
57,18,22.0,2.0,15.0,1.0,6,Ahmedabad,Orient Green,484,7.9,3823.6
58,22,23.0,2.0,21.0,1.0,6,Noida,SJVN Ltd.,737,8.2,6043.4
59,18,22.0,2.0,10.0,1.0,2,Mumbai,Reliance Power,405,9.2,3726.0
60,7,23.0,3.0,11.0,1.0,4,Hyderabad,Kalpataru Power,458,8.4,3847.2
61,16,22.0,1.0,11.0,1.0,8,Dahej,NTPC Pvt. Ltd.,466,7.6,3541.6
62,14,23.0,1.0,13.0,1.0,8,Hyderabad,Adani Power Ltd.,456,8.4,3830.4
63,15,22.0,3.0,9.0,1.0,4,Mumbai,Jaiprakash Power,394,9.2,3624.8
64,8,22.0,1.0,5.0,1.0,10,Noida,Reliance Power,263,8.2,2156.6
65,10,18.0,2.0,9.0,1.0,7,Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),490,9.2,4508.0
66,8,19.0,2.0,20.0,1.0,12,Shimla,Reliance Energy,476,7.7,3665.2
67,19,22.0,1.0,3.0,1.0,5,Shimla,Sterlite Power Transmission Ltd,577,7.7,4442.900000000001
68,7,23.0,0.0,17.0,1.0,3,Vadodara,Bonfiglioli Transmission Pvt. Ltd.,533,7.8,4157.4
69,16,23.0,1.0,16.0,1.0,7,Navi Mumbai,Unitech Power Transmission Ltd.,495,9.3,4603.5
70,8,23.0,0.0,4.0,1.0,8,Shimla,Jyoti Structure,399,7.7,3072.3
71,12,22.0,0.0,14.0,12.0,10,Kolkata,KEC International,604,8.7,5254.799999999999
72,18,22.0,3.0,9.0,1.0,9,Kolkata,Kalpataru Power,653,8.7,5681.099999999999
73,19,23.0,2.0,14.0,1.0,11,Noida,Sunil Hitech Eng,512,8.2,4198.4
74,7,22.0,2.0,11.0,7.0,8,Noida,Optibelt Power Transmission India Private Limited,468,8.2,3837.6
75,19,22.0,3.0,11.0,1.0,4,Kolkata,Optibelt Power Transmission India Private Limited,563,8.7,4898.099999999999
76,17,23.0,1.0,12.0,1.0,9,Kolkata,Jyoti Structure,496,8.7,4315.2
77,20,23.0,0.0,15.0,1.0,10,Hyderabad,TransRail Lighting,500,8.4,4200.0
78,21,22.0,1.0,8.0,1.0,12,Hyderabad,Orient Green,502,8.4,4216.8
79,9,23.0,3.0,14.0,1.0,6,Shimla,SJVN Ltd.,616,7.7,4743.2
80,13,23.0,3.0,8.0,12.0,8,Faridabad,Neueon Towers / Sujana Towers Ltd.,589,8.1,4770.9
81,7,20.0,2.0,12.0,7.0,6,Hyderabad,L&T Transmission & Distribution,595,8.4,4998.0
82,9,23.0,3.0,17.0,7.0,9,Ahmedabad,Ringfeder Power Transmission India Pvt. Ltd.,487,7.9,3847.3
83,21,22.0,0.0,9.0,1.0,3,Ratnagiri,SJVN Ltd.,512,7.4,3788.8
84,22,22.0,3.0,9.0,1.0,2,Mumbai,NHPC,405,9.2,3726.0
85,8,18.0,3.0,19.0,1.0,11,Hyderabad,Reliance Energy,388,8.4,3259.2000000000003
86,6,22.0,3.0,10.0,1.0,1,Mumbai,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",437,9.2,4020.4
87,20,23.0,3.0,5.0,1.0,3,New Delhi,L&T Transmission & Distribution,656,8.5,5576.0
88,7,21.0,0.0,4.0,1.0,12,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,300,8.4,2520.0
89,6,18.0,2.0,7.0,7.0,9,Dahej,Orient Green,523,7.6,3974.8
90,14,23.0,2.0,4.0,1.0,7,Hyderabad,L&T Transmission & Distribution,565,8.4,4746.0
91,17,22.0,1.0,6.0,1.0,6,Shimla,L&T Transmission & Distribution,561,7.7,4319.7
92,20,23.0,3.0,11.0,1.0,7,Mumbai,Neueon Towers / Sujana Towers Ltd.,628,9.2,5777.599999999999
93,11,23.0,3.0,8.0,1.0,11,Noida,KEC International,560,8.2,4592.0
94,13,22.0,0.0,7.0,1.0,8,Hyderabad,CESC,425,8.4,3570.0
95,14,22.0,2.0,14.0,12.0,2,Vadodara,Unitech Power Transmission Ltd.,632,7.8,4929.599999999999
96,22,22.0,3.0,5.0,1.0,9,Pune,KEC International,560,9.1,5096.0
97,15,23.0,1.0,13.0,1.0,11,Faridabad,Kalpataru Power,389,8.1,3150.9
98,6,21.0,3.0,19.0,1.0,2,Nagpur,CESC,576,8.9,5126.400000000001
99,6,19.0,1.0,4.0,1.0,8,Dahej,CESC,340,7.6,2584.0
100,7,18.0,3.0,4.0,1.0,8,Hyderabad,Reliance Power,417,8.4,3502.8
101,7,23.0,2.0,13.0,1.0,4,Navi Mumbai,Jaiprakash Power,503,9.3,4677.900000000001
102,22,23.0,1.0,6.0,1.0,12,New Delhi,Tata Power Company Ltd.,561,8.5,4768.5
103,18,23.0,2.0,13.0,1.0,8,Navi Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),588,9.3,5468.400000000001
104,7,21.0,3.0,11.0,1.0,10,Faridabad,Bonfiglioli Transmission Pvt. Ltd.,584,8.1,4730.4
105,21,22.0,2.0,21.0,1.0,10,Chennai,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,771,8.8,6784.8
106,22,22.0,3.0,4.0,1.0,9,Noida,NHPC,643,8.2,5272.599999999999
107,18,22.0,0.0,16.0,1.0,3,Vadodara,Tata Power Company Ltd.,552,7.8,4305.599999999999
108,13,23.0,1.0,8.0,12.0,5,Chennai,Sunil Hitech Eng,683,8.8,6010.400000000001
109,5,21.0,3.0,6.0,1.0,5,Vadodara,Optibelt Power Transmission India Private Limited,436,7.8,3400.8
110,8,23.0,2.0,17.0,1.0,7,Mumbai,Kalpataru Power,681,9.2,6265.2
111,14,22.0,2.0,21.0,12.0,2,Kolkata,Unitech Power Transmission Ltd.,668,8.7,5811.599999999999
112,15,22.0,1.0,14.0,1.0,10,Chennai,TransRail Lighting,381,8.8,3352.8
113,12,22.0,3.0,14.0,1.0,10,Navi Mumbai,Jaiprakash Power,643,9.3,5979.900000000001
114,15,23.0,1.0,22.0,1.0,1,Vadodara,TransRail Lighting,495,7.8,3861.0
115,6,22.0,3.0,9.0,1.0,10,Noida,Kalpataru Power,544,8.2,4460.799999999999
116,23,22.0,3.0,20.0,1.0,5,Shimla,Unitech Power Transmission Ltd.,675,7.7,5197.5
117,20,23.0,1.0,18.0,1.0,6,Hyderabad,Reliance Power,665,8.4,5586.0
118,10,17.0,1.0,10.0,1.0,2,Navi Mumbai,Jaiprakash Power,243,9.3,2259.9
119,23,22.0,2.0,12.0,12.0,9,Vadodara,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",735,7.8,5733.0
120,18,22.0,2.0,8.0,1.0,5,Pune,Ringfeder Power Transmission India Pvt. Ltd.,587,9.1,5341.7
121,14,22.0,0.0,3.0,1.0,9,Ahmedabad,Ringfeder Power Transmission India Pvt. Ltd.,287,7.9,2267.3
122,23,22.0,2.0,18.0,1.0,7,Ratnagiri,Tata Power Company Ltd.,756,7.4,5594.400000000001
123,12,23.0,0.0,14.0,1.0,8,Faridabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,460,8.1,3726.0
124,17,22.0,3.0,7.0,1.0,8,Mumbai,Sterlite Power Transmission Ltd,480,9.2,4416.0
125,6,22.0,1.0,11.0,1.0,7,Noida,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),345,8.2,2828.9999999999995
126,7,23.0,3.0,3.0,1.0,12,Pune,Torrent Power Ltd.,545,9.1,4959.5
127,6,22.0,1.0,20.0,1.0,4,Chennai,NTPC Pvt. Ltd.,407,8.8,3581.6000000000004
128,15,23.0,2.0,7.0,1.0,1,Nagpur,NTPC Pvt. Ltd.,389,8.9,3462.1000000000004
129,17,22.0,1.0,13.0,1.0,1,Noida,Ringfeder Power Transmission India Pvt. Ltd.,519,8.2,4255.799999999999
130,20,22.0,3.0,20.0,12.0,9,Faridabad,Sterlite Power Transmission Ltd,662,8.1,5362.2
131,12,23.0,0.0,4.0,1.0,4,Gurgaon,Guj Ind Power,302,8.3,2506.6000000000004
132,12,23.0,0.0,16.0,1.0,2,New Delhi,Kalpataru Power,582,8.5,4947.0
133,23,22.0,0.0,8.0,1.0,1,Chennai,L&T Transmission & Distribution,346,8.8,3044.8
134,12,22.0,1.0,22.0,1.0,3,Nagpur,Sunil Hitech Eng,506,8.9,4503.400000000001
135,6,22.0,1.0,4.0,1.0,1,Faridabad,Reliance Energy,487,8.1,3944.7
136,7,18.0,0.0,21.0,7.0,12,New Delhi,Sterlite Power Transmission Ltd,476,8.5,4046.0
137,16,22.0,0.0,8.0,1.0,12,Pune,Neueon Towers / Sujana Towers Ltd.,373,9.1,3394.3
138,18,22.0,1.0,16.0,1.0,10,Noida,Bonfiglioli Transmission Pvt. Ltd.,599,8.2,4911.799999999999
139,8,20.0,0.0,7.0,7.0,3,Navi Mumbai,L&T Transmission & Distribution,422,9.3,3924.6
140,7,20.0,2.0,11.0,1.0,4,Dahej,Jaiprakash Power,351,7.6,2667.6
141,17,23.0,1.0,12.0,1.0,11,New Delhi,Torrent Power Ltd.,512,8.5,4352.0
142,15,23.0,3.0,4.0,1.0,4,Dahej,Kalpataru Power,569,7.6,4324.4
143,17,23.0,3.0,19.0,1.0,7,Noida,Tata Power Company Ltd.,776,8.2,6363.2
144,17,22.0,0.0,13.0,1.0,10,Faridabad,Ringfeder Power Transmission India Pvt. Ltd.,467,8.1,3782.7
145,15,22.0,2.0,6.0,12.0,3,Hyderabad,SJVN Ltd.,696,8.4,5846.400000000001
146,20,22.0,1.0,6.0,1.0,12,Gurgaon,Sterlite Power Transmission Ltd,357,8.3,2963.1000000000004
147,18,22.0,0.0,7.0,1.0,12,Nagpur,NHPC,325,8.9,2892.5
148,20,22.0,1.0,8.0,12.0,3,Nagpur,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),717,8.9,6381.3
149,23,22.0,2.0,11.0,1.0,4,Pune,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",419,9.1,3812.9
150,5,23.0,0.0,4.0,1.0,7,Vadodara,GE T&D India Limited,478,7.8,3728.4
151,12,23.0,3.0,16.0,1.0,7,Dahej,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),548,7.6,4164.8
