invoice_number,invoice_date,store_name,city,item_name,quantity,unit_price,line_amount,bill_subtotal,discount,cgst,sgst,grand_total,payment_mode
INV-20260519-0001,2026-05-19 08:04,Spencer's,Lucknow,Horlicks 500g,3,279.15,837.45,9772.46,195.45,239.43,239.43,10055.87,Cash
INV-20260519-0001,2026-05-19 08:04,Spencer's,Lucknow,Amul Gold Milk 1L,3,415.15,1245.45,9772.46,195.45,239.43,239.43,10055.87,Card
INV-20260519-0001,2026-05-19 08:04,Spencer's,Lucknow,Fortune Sunflower Oil 1L,1,166.78,166.78,9772.46,195.45,239.43,239.43,10055.87,UPI
INV-20260519-0001,2026-05-19 08:04,Spencer's,Lucknow,Potato 2kg,1,651.14,651.14,9772.46,195.45,239.43,239.43,10055.87,Cash
INV-20260519-0001,2026-05-19 08:04,Spencer's,Lucknow,Britannia Bread,1,573.26,573.26,9772.46,195.45,239.43,239.43,10055.87,UPI
INV-20260519-0001,2026-05-19 08:04,Spencer's,Lucknow,Tata Salt 1kg,2,726.49,1452.98,9772.46,195.45,239.43,239.43,10055.87,Cash
INV-20260519-0001,2026-05-19 08:04,Spencer's,Lucknow,Tomato 1kg,3,667.2,2001.6,9772.46,195.45,239.43,239.43,10055.87,Cash
INV-20260519-0001,2026-05-19 08:04,Spencer's,Lucknow,Aashirvaad Atta 5kg,2,713.67,1427.34,9772.46,195.45,239.43,239.43,10055.87,UPI
INV-20260519-0001,2026-05-19 08:04,Spencer's,Lucknow,Tata Tea Premium 500g,2,708.23,1416.46,9772.46,195.45,239.43,239.43,10055.87,Cash
INV-20260312-0002,2026-03-12 08:56,More Supermarket,Delhi,Clinic Plus Shampoo,3,195.75,587.25,5008.1,250.41,118.94,118.94,4995.57,Card
INV-20260312-0002,2026-03-12 08:56,More Supermarket,Delhi,Tomato 1kg,2,373.73,747.46,5008.1,250.41,118.94,118.94,4995.57,UPI
INV-20260312-0002,2026-03-12 08:56,More Supermarket,Delhi,Potato 2kg,2,288.59,577.18,5008.1,250.41,118.94,118.94,4995.57,UPI
INV-20260312-0002,2026-03-12 08:56,More Supermarket,Delhi,Wheel Detergent,1,181.84,181.84,5008.1,250.41,118.94,118.94,4995.57,UPI
INV-20260312-0002,2026-03-12 08:56,More Supermarket,Delhi,Surf Excel 1kg,1,287.66,287.66,5008.1,250.41,118.94,118.94,4995.57,UPI
